STT,Summary name,Description,Steps to reproduce,Data,Expected Result,Mô tả lỗi,Hình ảnh/Flow lỗi(nếu có),GG Drive ,Priority,MT,Status,ReOpen,Ngày tạo,Hoàn thành,Ghi chú,Người tạo,Người sửa,Reply
93,Ảnh nền tại Form tùy chỉnh không hiển thị ,"Sau khi tạo kênh, người dùng reload hoặc mở lại trang kênh thì ảnh nền đã được hiển thị đúng ở màn hình chính. Tuy nhiên, khi truy cập vào Form tùy chỉnh kênh, hệ thống không load ảnh nền vào field ảnh tương ứng. Form vẫn hiển thị như chưa có ảnh nền, mặc dù ảnh đã tồn tại và hiển thị đúng ở giao diện chính.","1. Tạo một kênh mới và thiết lập ảnh đại diện + ảnh nền
2. Sau khi tạo, reload trang hoặc mở lại màn hình kênh → ảnh nền hiển thị đúng
3. Nhấn Tùy chỉnh tại màn hình Kênh của tôi
4. Quan sát mục ảnh nền trong Form tùy chỉnh",,"- Form tùy chỉnh phải load chính xác ảnh nền đã được thiết lập
- Trải nghiệm giữa giao diện xem kênh và Form tùy chỉnh kênh phải đồng nhất",,,,M,Kênh của tôi,Ðã hoàn thành,,02/12/2025,22/12/2025,,Hoa,Trịnh Trần Phương Chiến,
94,Danh sách nội dung liên quan không hiển thị ảnh preview ,"Ở khu vực hiển thị danh sách Nội dung liên quan, hệ thống không hiển thị ảnh preview cho các nội dung. Thay vì hiển thị thumbnail/ảnh đại diện, danh sách chỉ hiển thị phần text hoặc placeholder trống","1. Mở xem chi tiết bài giảng bất kỳ
2. Quan sát khu vực hiển thị Nội dung liên quan
3. Quan sát các item trong danh sách",,"- Mỗi nội dung trong danh sách liên quan phải hiển thị ảnh preview/thumbnail tương ứng
- UI đầy đủ, đồng bộ và thống nhất với thiết kế",,,,L,Cộng đồng,Ðã hoàn thành,,03/12/2025,09/12/2025,,Hoa,Trịnh Trần Phương Chiến,
95,Thông tin tóm tắt của bài giảng trong mục đề xuất hiển thị sai,"- Tại khu vực Mục đề xuất, phần thông tin tóm tắt của bài giảng được hiển thị không đúng với dữ liệu thực tế
- Nội dung hiển thị bị lệch, không khớp với thông tin của bài giảng ","1. Mở xem chi tiết một bộ bài giảng bất kỳ
2. Cuộn xuống mục Đề xuất 
3. Quan sát phần thông tin tóm tắt hiển thị dưới mỗi bài giảng đề xuất
4. So sánh summary hiển thị với dữ liệu thực tế của bài giảng tương ứng",,"Summary của từng bài giảng phải được hiển thị chính xác, khớp với dữ liệu hiện tại của bài giảng",,,,M,Cộng đồng,Chưa thực hiện,,03/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
96,"Danh sách nội dung liên quan hoạt động sai, vẫn bao gồm bài giảng hiện tại","Tại khu vực Nội dung liên quan, hệ thống hiển thị danh sách đề xuất không chính xác. Cụ thể, bài giảng đang được mở vẫn xuất hiện trong danh sách nội dung liên quan","1. Mở bài giảng bất kỳ
2. Quan sát khu vực hiển thị Nội dung liên quan 
3. Kiểm tra danh sách các nội dung được đề xuất
4. So sánh ID hoặc tiêu đề bài giảng hiện tại với các nội dung trong danh sách.",,"- Danh sách nội dung liên quan không được hiển thị lại bài giảng đang mở, chỉ hiển thị các bài giảng khác có liên quan
- Gợi ý hoạt động chính xác, phục vụ đúng mục đích đề xuất nội dung thay thế/ tương tự",,,,M,Cộng đồng,Chưa thực hiện,,03/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
97,Bộ bài giảng chưa được xác minh đầy đủ vẫn hiển thị ở Cộng đồng nội dung,"Một bộ bài giảng chỉ nên được hiển thị tại Cộng đồng nội dung khi toàn bộ các bài giảng bên trong đã được xác minh đầy đủ. Tuy nhiên, hiện tại dù trong bộ vẫn còn các bài giảng chưa được xác minh, bộ vẫn được hiển thị ở danh sách Cộng đồng nội dung","1. Tạo một bộ nội dung gồm nhiều bài giảng
2. Chỉ xác minh một phần bài giảng, giữ lại ít nhất một bài chưa xác minh 
3. Truy cập màn hình Cộng đồng nội dung  và quan sát danh sách bộ nội dung được hiển thị",,"- Bộ nội dung chỉ hiển thị tại Cộng đồng nội dung khi tất cả các bài giảng trong bộ đã được xác minh đầy đủ
- Backend cần kiểm tra đúng logic và chỉ trả về các bộ thỏa mãn điều kiện xác minh",,,,H,Cộng đồng,Chưa thực hiện,,03/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
98,Ký tự “/” trong tên kế hoạch bài dạy gây lỗi do bị hiểu thành đường dẫn,"Khi người dùng nhập tên kế hoạch bài dạy có chứa ký tự “/”, hệ thống hiểu ký tự này như một phần của đường dẫn (path) khiến tên bị phân tách sai, gây lỗi khi tạo mới","1. Thực hiện Tạo mới > Tạo kế hoạch bài dạy
2. Tại trường Tên kế hoạch, nhập tên có chứa ký tự “/” (ví dụ: Bài học 1/ Toán)
3. Nhấn Tạo mới
4. Quan sát kết quả khi tạo kế hoạch",,"- Hệ thống không chấp nhận ký tự “/” trong trường tên kế hoạch bài dạy
- Cần hiển thị thông báo lỗi/validation rõ ràng
- Không tạo bất kỳ dữ liệu sai hoặc không hợp lệ.",,,,L,Thư viện,Ðã hoàn thành,,04/12/2025,09/12/2025,,Hoa,Trịnh Trần Phương Chiến,
99,Quyền chia sẻ của file con trong folder vẫn tồn tại sau khi xóa và tạo lại một thư mục có cùng tên,"- Khi tài khoản A xóa một folder đã được share (bao gồm file con được share quyền xem cho tài khoản B), hệ thống không reset quyền chia sẻ tương ứng
- Sau khi tạo lại 1 folder mới cùng tên và upload lại file tương tự, quyền chia sẻ cũ vẫn còn tồn tại tại tài khoản B, dẫn đến tình trạng tài khoản B vẫn thấy quyền truy cập từ lần chia sẻ trước, dù folder cũ đã bị xóa","1. Login tài khoản A, tạo Folder A
2. Trong Folder A → upload File X
3. Share File X với quyền Viewer cho tài khoản B
4. Login tài khoản B → xác nhận thấy File X tại màn hình Được chia sẻ
5. Quay lại tài khoản A → Xóa Folder A (folder + file con đều biến mất)
6. Tạo lại Folder A mới (trùng tên folder ban đầu)
7. Upload lại File X (file giống lần đầu) và quan sát quyền truy cập của file vừa được tải lên",,"- Khi folder cũ đã bị xóa, toàn bộ quyền chia sẻ liên quan phải được xóa
- Khi tạo folder mới cùng tên, hệ thống phải coi đây là một resource mới và không giữ lại bất kỳ quyền chia sẻ cũ nào
- Tài khoản B không được thấy quyền truy cập trước đây với file mới",,,,M,Thư viện,Chưa thực hiện,,05/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
100,Tên kế hoạch bài dạy dài bị tràn khung hiển thị,"- Khi người dùng đặt tên kế hoạch bài dạy với độ dài lớn (quá nhiều ký tự hoặc không có khoảng trắng), phần tên hiển thị trên giao diện bị tràn khỏi khung, phá vỡ layout hoặc chồng lấp lên các thành phần UI khác.
- Hệ thống không có cơ chế tự động xuống dòng, cắt ký tự hoặc hiển thị dạng ellipsis (…) ","1. Thực hiện tạo mới một kế hoạch với tên rất dài 
2. Nhấn Tạo mới
3. Quan sát tại khu vực hiển thị tên ",Kế hoạch bài dạy tuần 1 - luyện tập kiến thức nâng cao dành cho học sinh lớp 6A trường THCS...,"- Tên dài phải được xử lý theo đúng thiết kế UI: tự động xuống dòng (wrap) hoặc hiển thị dạng rút gọn ""…"" trong list view nếu cần
- Không làm vỡ giao diện và đảm bảo khả năng đọc",,,,M,Tool,Ðã hoàn thành,,05/12/2025,09/12/2025,,Hoa,Trịnh Trần Phương Chiến,
101,Nội dung tại mục “Đường dẫn nguồn” bị khuất khi hiển thị,"- Tại khu vực hiển thị thông tin nội dung, mục “Đường dẫn nguồn” hiển thị không đầy đủ
- Nội dung bị khuất, cắt mất hoặc nằm ngoài vùng nhìn thấy, khiến người dùng không thể đọc toàn bộ đường dẫn","1. Tạo một Điều hướng tới màn hình text editor 1 bài có đường dẫn dài hoặc nhiều ký tự 
2. Quan sát khu vực hiển thị ""Đường dẫn nguồn""",,"- Phần “Đường dẫn nguồn” phải hiển thị đầy đủ nội dung hoặc cung cấp cơ chế xem toàn bộ, như: Tự động xuống dòng (wrap) hoặc dạng rút gọn ""..."", rcm có Tooltip hiển thị toàn bộ đường dẫn
- Không được che mất hoặc cắt nội dung",,,,L,Tool,Chưa thực hiện,,05/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
102,Thanh hiển thị font size không cập nhật đúng theo size thực tế của text,"- Khi người dùng bôi đen hoặc đặt con trỏ vào một đoạn text đã được định dạng theo các heading (Heading 1, Heading 2, Heading 3…) hoặc các size chữ khác nhau, font size thực tế của text đã thay đổi đúng, nhưng thanh hiển thị font size trên toolbar không cập nhật theo
- Hiện tại: 
  + Toolbar luôn hiển thị một size cố định hoặc size cũ
  + Không phản ánh đúng style hiện tại của text
  + Gây hiểu nhầm cho người dùng khi muốn kiểm tra định dạng hoặc tiếp tục chỉnh sửa","1. Tạo hoặc mở một kế hoạch bài dạy 
2. Nhập một đoạn text
3. Chọn đoạn text và áp dụng định dạng Heading 1, Heading 2 hoặc thay đổi size chữ (ví dụ: 16px, 20px…)
4. Đặt lại con trỏ vào đoạn text vừa được định dạng
5. Quan sát font size tại thanh toolbar ",,"- Khi bôi đen hoặc đặt con trỏ vào text, toolbar phải cập nhật chính xác font size hoặc kiểu heading tương ứng với text đó
- Hiển thị đúng số size đang được áp dụng
- Trạng thái toolbar phải luôn đồng bộ với style thực tế của text",,,,M,Tool,Chưa thực hiện,,05/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
103,Không cập nhật URL ảnh khi thay đổi vị trí trong thư viện,"Hệ thống chỉ tạo URL cho ảnh tại thời điểm upload (POST /api/urls).
Khi người dùng di chuyển ảnh sang folder khác, đường dẫn vật lý thay đổi nhưng URL không được cập nhật lại trong database.
Do đó share link ảnh hoặc xem bằng URL cũ không hiển thị ảnh.","1. Upload 1 ảnh bất kỳ vào thư viện → nhận được URL truy cập hợp lệ
2. Di chuyển ảnh sang vị trí khác trong thư viện
3. Thực hiện thao tác share link cho người khác
4. Quan sát kết quả ",đk: Ảnh được upload thành công và có thể xem bình thường trước khi di chuyển.,"Mỗi khi ảnh thay đổi vị trí 
- Cập nhật lại đường dẫn hình ảnh trong DB
- Cập nhật URL → tránh bị lỗi liên kết
Share link luôn mở được file đúng",,,,H,Thư viện,Ðã hoàn thành,,30/12/2025,26/01/2026,,Hoa,Trịnh Trần Phương Chiến,
104,"Đổi tên folder - content bg,pbt",,,,,,,,H,Thư viện,Ðã hoàn thành,,31/12/2025,26/01/2026,,Hoa,Trịnh Trần Phương Chiến,
105,Rename modal không auto-fill tên cũ,,"1. Truy cập Thư viện
2. Chuột phải (hoặc chọn menu ⋮) vào file/thư mục bất kỳ
3. Chọn chức năng Đổi tên
4. Quan sát modal Đổi tên hiển thị",,"Khi mở modal Rename:
- Ô nhập tên được auto-fill sẵn tên hiện tại
- Người dùng có thể:
  + Chỉnh sửa một phần tên
  + Thay đổi hoặc giữ nguyên và xác nhận",,,,M,Thư viện,Ðã hoàn thành,,31/12/2025,26/01/2026,,Hoa,Trịnh Trần Phương Chiến,
106,Chỉ cho phép giáo viên đăng nhập theo SĐT,"Khi đăng ký chọn role giáo viên, tại màn đăng ký chỉ cho nhập số điện thoại","1. Chọn đăng ký 
2. Tại màn chọn tài khoản, chọn role giáo viên 
3. Thực hiện nhập thông tin tại các trường ",,Cho phép đăng ký bằng cả gmail và số điện thoại,,,,M,"ĐN, ĐK",Pending,,,,,Hoa,Trịnh Trần Phương Chiến,
107,Reset sai phạm vi,Nút “Đặt lại” trong CĐND hiện tại không đưa màn hình về trạng thái mặc định mong muốn,"1. Truy cập màn hình CĐND
2. Chọn Primary tab bất kỳ 
3. Có thể áp dụng ≥ 1 bộ lọc hoặc không
4. Click nút “Đặt lại”",,"Đưa CĐND về trạng thái mặc định ban đầu, gồm:
- Primary tab ""Tất cả""
- Các bộ lọc được reset về giá trị mặc định tương ứng với tab “Tất cả”",,,,H,Cộng đồng,Chưa thực hiện,,20/01/2026,,,Hoa,Trịnh Trần Phương Chiến,
108,Lỗi xác minh bộ bài giảng ,Bộ bài giảng trong quản lý nội dung dù chưa được xác minh nhưng bộ bài giảng lại hiển thị nhãn đã xác minh  ,"1. Truy cập màn hình KCT
2. Chọn action tab 'Quản lý nội dung'
3. Tìm bộ bài giảng đang ở trạng thái 'Chưa xác minh'
4. Quan sát hiển thị nhãn bên KCT ",,Đồng bộ dữ liệu xác minh bộ bài giảng trên tất cả các tab trên Social ,,,,H,Kênh của tôi,Chưa thực hiện,,27/01/2026,,,HAnh,Trịnh Trần Phương Chiến,
109,"Lỗi hiển thị bài giảng, bộ bài giảng ở cộng đồng nội dung liên quan tới chế độ hiển thị","Bài giảng, bộ bài giảng ở chế bộ ""riêng tư"" vẫn đang hiển thị tại ""Cộng đồng nội dung""","1. Tạo một bài giảng/ bộ bài giảng, chọn chế độ riêng tư 
2. Xác minh bài giảng tại trtang quản trị 
3. Đăng nhập account khác, vào cộng đồng nội dung quan sát hiển thị ",,Khi chọn chế độ private bài giảng/ bộ bài giảng không hiển thị trên cộng đồng nội dung sau khi đã xác minh bài giảng ,,,,H,Kênh của tôi,Chưa thực hiện,,29/01/2026,,,HAnh,Trịnh Trần Phương Chiến,
110,Folder name converts underscore (_) to space,"Khi người dùng đặt tên folder có chứa dấu gạch dưới _, hệ thống tự động chuyển thành dấu cách (space), không giữ đúng tên người dùng đã nhập","1. Tạo mới folder
2. Nhập tên folder có dấu _ (ví dụ: Test_folder)
3. Click Tạo mới",,Hệ thống lưu và hiển thị đúng tên người dùng nhập,,,,L,Thư viện,Chưa thực hiện,,04/02/2026,,,Hoa,Trịnh Trần Phương Chiến,
111,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,
